loss_reconstruction,loss_prediction,loss_linearity,loss_eigvalue,lin_dyn_weight
0.02760389386289241,0.030441287725205077,0.06274142895323341,0.07331658442362383,0.5813104510307312
0.027214463076107302,0.029609943273160157,0.04266526627956063,0.07020516911316813,0.5859687328338623
0.02702833079900243,0.029922626218471388,0.03438143879574681,0.06860528597683115,0.5879177451133728
0.026940915708607387,0.029119399333767212,0.024987921935204046,0.06572186789068396,0.5891633629798889
0.02583457403204556,0.02982718866048805,0.06275774821659036,0.06453734131944404,0.6013678312301636
0.025998661724036566,0.03011825129929081,0.05439613183246221,0.061834126141611434,0.5997396111488342
0.025336353487807047,0.02768175826775005,0.03213204786021652,0.059366938266054235,0.6079162359237671
0.02468517314812453,0.027015249127517117,0.04814689362236865,0.056422013339983555,0.6148115992546082
0.023739713251630677,0.025737375680147483,0.02633075069276561,0.05598291962459963,0.6266782879829407
0.024186031703135602,0.026239307172816178,0.02216079445111368,0.05391268312291869,0.620966911315918
0.023545291564419826,0.025472501337767926,0.020605451839379268,0.052071801429219924,0.6293790936470032
0.02306285519502438,0.025026988777414404,0.0222353369456993,0.04981218176536841,0.6348894834518433
0.022897017825065286,0.024933701241264074,0.027059514270271437,0.04924964131762451,0.6372576951980591
0.02232704268663562,0.024901512216267255,0.029213628309701468,0.047268125370903885,0.6440466642379761
0.022626030096539542,0.024896340934065328,0.03250291502607572,0.04567727183888169,0.6405934691429138
0.022986157634982154,0.026732173326347853,0.03854225603389197,0.04415590095336252,0.6366062164306641
0.022723334754040668,0.026113909332146593,0.03907523687739155,0.04258560307383857,0.6394680142402649
0.021448892905768856,0.023807020852936497,0.027548453678194702,0.041870650373419235,0.6549628376960754
0.02129236075417925,0.02339615117029434,0.02349753075606382,0.04029521882414178,0.6572685837745667
0.020725069332857872,0.02293872758846021,0.024355544613789137,0.039582002957928276,0.6643434762954712
0.02083583448791312,0.022950938086327536,0.020149816708993816,0.03803391094461842,0.6633625030517578
0.020879288880658854,0.023215795115595208,0.02284429435326091,0.037067901657709484,0.6627951860427856
0.02014224739850127,0.023206425935589275,0.028078816701276054,0.036645820893686835,0.6718944311141968
0.020408379473291518,0.02328399885895265,0.031119064852375606,0.03530168796492486,0.6687440276145935
0.02102694857176443,0.023379604059993103,0.021472552646420916,0.03369143406483507,0.6632595062255859
0.019922581121784914,0.02215830488854535,0.021970338397846626,0.03354521537693991,0.6751766204833984
0.020096620020454117,0.022871803761966746,0.02659583544663226,0.03317481564512681,0.6742067933082581
0.020447899677338774,0.02320782885694472,0.025406693305630466,0.03191064259202167,0.6687675714492798
0.0193374708429698,0.02150047152994785,0.019390236446509092,0.0312342842386651,0.6831631064414978
0.01876646605877071,0.020365579772850462,0.01658545396023557,0.030643950553546004,0.690427303314209
0.018465714998563237,0.020473856216760965,0.020208281012946097,0.029666468496097317,0.6943525671958923
0.018234649775474863,0.0207192104649368,0.045128754457463845,0.029058759727442873,0.6977137923240662
0.018448184546452744,0.021026198742237073,0.030341236437633434,0.028464699928067005,0.6946578621864319
