loss_reconstruction,loss_prediction_1,loss_prediction_2,loss_prediction_3,loss_prediction_4,loss_linearity_1,loss_linearity_2,loss_linearity_3,loss_linearity_4,lin_dyn_weight
0.0058573233614605605,0.0057162157490208585,0.005860932882354465,0.006013139541591367,0.0062438100476258545,0.0010448043423664747,0.0016019690646639755,0.0020829313284447116,0.002834789394851654,0.889621913433075
0.005845997322310684,0.00569512456234905,0.005853932931698779,0.005988679495790313,0.006247655723884862,0.0011184765514166606,0.0017050354208256449,0.0021966069796553224,0.002976645708024021,0.8898335099220276
0.005868552312735588,0.005722548497179823,0.005863183553540899,0.005994662186831877,0.006210607656788441,0.0012413026810052894,0.0018434955272823572,0.0022812976466832302,0.00301270174383316,0.8894221782684326
0.006100672622641889,0.006033684853063796,0.006248697473277007,0.0065085899525432174,0.006854575833365802,0.0017941925056298735,0.0027019142959347014,0.0031240257104077646,0.004005303646447838,0.8853182196617126
0.006062784041928989,0.0059543084052781905,0.006117308837792245,0.006297528788807892,0.006575517982284548,0.001605633603689331,0.0022209798566676596,0.0028709112316049556,0.003804208235114172,0.8859943151473999
0.005872429053108859,0.005745791775044254,0.0058972005211617995,0.006041395447907909,0.0062967532624801,0.0015505326396074667,0.0020948074087100005,0.002716470945386156,0.0036385379911911104,0.8893548846244812
0.005688041929275759,0.005572219098848041,0.005695461886384154,0.005824057815936944,0.006058830332251326,0.001291545680023089,0.0018021125441557296,0.0022621894735963114,0.0030657931791758667,0.8926332592964172
0.0055045517942597785,0.005389935567334134,0.005538899371380447,0.0057005120231018915,0.005937086157901313,0.001267236495961345,0.0018173864985045086,0.002135188551619649,0.0028012776346777075,0.8959027528762817
0.005368163969407799,0.005234025769256135,0.005359705632692704,0.005463516344666802,0.00566488105843785,0.0010081090330977434,0.0014317224705992367,0.001807805571344591,0.0024787669360477435,0.8983515501022339
0.005259538640178019,0.005134699670898337,0.005262492179510093,0.005381547094833466,0.005584118076630177,0.0009692037760991082,0.0014195651722250767,0.0017962404188790148,0.0025169706092246116,0.900295615196228
0.0052871074557544724,0.00517354562618239,0.0052992443213619855,0.005421265519113951,0.00564025252837167,0.0010626848276344039,0.0015451629315653154,0.0019897978016806227,0.0027860046729886083,0.8997992873191833
0.0052060914996971365,0.005074471856156985,0.005204799735257702,0.005320280950556519,0.005535709366242411,0.0011138175889569264,0.0016337723023087908,0.002013299473991958,0.0027365192861085936,0.9012567400932312
0.005082578553507726,0.004972927137127807,0.005108993936089739,0.005256366199984025,0.005467909423293927,0.0011206682876593644,0.0016548252434179346,0.0019817117536540634,0.00269256465096948,0.9034748673439026
0.004994683313153444,0.004887025818348893,0.005035557278421938,0.005193556523731639,0.0054517574958823705,0.0011086205223334892,0.0016770769306208178,0.0019633917673741296,0.0025542284817665173,0.905060887336731
0.00498904889169079,0.0048815664855302665,0.005004716416200002,0.005120670282712547,0.005321493192065147,0.0009478336339065384,0.0013710165381311409,0.0017272943821084756,0.0023242608764238895,0.9051586389541626
0.005059719831752841,0.004960187535572757,0.005077436255911986,0.0051784025184730045,0.0053692076765801955,0.0009807525765931895,0.0014451708299137891,0.0018466986735822051,0.0025680948634661973,0.9038918614387512
0.0051584813082891125,0.005054096040386025,0.005168178103744022,0.005275319550707135,0.005503039661875014,0.0012827536882331935,0.0018421568750073352,0.002295442779238025,0.0030876720794827065,0.9021229147911072
0.004987640025955375,0.004901263852834061,0.005034978326249827,0.005191191249797421,0.00542186445466453,0.001215807022026149,0.001779438294370168,0.002054093921336756,0.002732610682986917,0.9051839113235474
0.0049028971823312905,0.0048303996833662195,0.0049831579359228256,0.005130036678966335,0.0053324236494479,0.0012605133496465222,0.0018160849764582612,0.0021041559446002204,0.002666306416554156,0.9067180156707764
0.004889762895281917,0.004783894110631238,0.004926660553782537,0.0050597977423940295,0.005272260421426386,0.0011901716221003763,0.001732719313573613,0.0020236873358327853,0.0025836907988113743,0.9069623351097107
0.004785318823871753,0.004689144331120675,0.004795930653770444,0.0049077020407283815,0.005109501326636922,0.0011069811755410766,0.001538498076780509,0.0018975085588873073,0.002503377658325017,0.9088553786277771
0.004757865832778075,0.004662851417457224,0.004773175423984886,0.004869832431957606,0.005073548955542426,0.0010628087561257104,0.0015610434460423647,0.0018511864041248637,0.0023862334438950143,0.9093520641326904
0.004700385960399784,0.004628732575163726,0.004746549512429904,0.004889758378868142,0.005122386955565984,0.0011794427046752584,0.0017173060125881625,0.0019909151409181858,0.002654019395209929,0.9103938341140747
0.004682355390120578,0.004592710620252996,0.004719437881102485,0.004865861492812313,0.005099127930338665,0.0012279157013562257,0.001778363688318159,0.0019358295111125835,0.002598018210221042,0.9107128381729126
0.004789852452093875,0.004745827892655006,0.004925120246386336,0.005149032434909254,0.005487573788731649,0.001459658507668283,0.0022280848990645138,0.0023325717837740017,0.003059204372387099,0.908769428730011
0.004916395170874493,0.004870820765493698,0.0050293141375145605,0.005231929317076681,0.005519783564953393,0.001735230970386696,0.002338040066802854,0.002665072684526764,0.003382719978089294,0.906488299369812
0.004891274471877403,0.00481850669909549,0.0049619216932564655,0.005114466687964816,0.005362419331426262,0.0015395769689192055,0.0021368397464875573,0.002640190301463008,0.0033760604909270683,0.9069322943687439
0.0046314011097595255,0.004566144693883196,0.0046788233242207955,0.004781763144438306,0.004970036091543333,0.001072347293087151,0.0015421863194675215,0.001956817471191928,0.002549983611110077,0.9116495847702026
0.004517873068169881,0.004469942386632645,0.004617082585971202,0.004762181281162205,0.004973622759984386,0.0011182267516751283,0.0016070027029522324,0.0018862987748317181,0.002509270954917195,0.913720428943634
0.004423562978063861,0.00435617228128737,0.00450020827733541,0.0046630977322497675,0.004899569726999729,0.001100379936722538,0.0016311426704589238,0.0018982254469426729,0.002513669078208266,0.91543048620224
0.004369274552871463,0.004307673372808964,0.004411850585251726,0.004525249137953725,0.0047118537608654264,0.0009441413123020401,0.0013386314579596121,0.0017266922244822147,0.002333081174661876,0.9164209961891174
0.004318824283257928,0.004257246566515776,0.004355623917554015,0.004444198562733589,0.004599560367604417,0.0008576577523052291,0.0012317080493836152,0.0016269860901839792,0.0022165316772917586,0.9173378348350525
0.004268254398778882,0.004206686631165525,0.004289177156263782,0.0043790401860831244,0.00450410174646525,0.0008860619060234517,0.0012190239253624152,0.001541800519090987,0.002141686679635157,0.9182690978050232
0.004227008450255599,0.004161865700797368,0.0042343293917515585,0.004323031212533674,0.00448966592109652,0.0009367282825311826,0.0013338081032959043,0.00160386972630056,0.0021854111779561285,0.919029176235199
0.004097106936638073,0.004018736004288639,0.004128390257196721,0.004203977579030619,0.004352387786912982,0.0007870025552248442,0.0011496443541780595,0.0014757119514729067,0.0019936878734859087,0.9214264154434204
0.00410867187504967,0.004042518270071796,0.004133069687472877,0.004210204556984927,0.004362119822412408,0.0008814806489133707,0.0012276789801876232,0.0015631228465066162,0.002160765511053865,0.9211999773979187
