loss_reconstruction,loss_prediction_1,loss_prediction_2,loss_linearity_2,loss_linearity_3,lin_dyn_weight
0.017007681629901763,0.01863658854225338,0.020602096027175852,0.0022241822850184154,0.0037997696223675006,0.7120975852012634
0.01679811452909204,0.01839851837030193,0.020397003485052377,0.00220063016718666,0.0037965586821504887,0.7150745987892151
0.016457415024606174,0.01801285447690311,0.020003904772284847,0.002073789407942919,0.0036502397000389613,0.7199566960334778
0.016124084121828912,0.017708569125041065,0.01968734224370662,0.00196198828818414,0.0035194159254131703,0.724738597869873
0.016085274765055453,0.017607934522948808,0.019506818796164237,0.002040264457964257,0.003566466611903786,0.7253081202507019
0.01592724346024478,0.0174010039575948,0.019274326158849987,0.0020534670617956443,0.003556297014423665,0.7275943756103516
0.01592703257381116,0.017309596574546508,0.01917748583243197,0.0021256681281648228,0.0036499260005934927,0.7276046872138977
0.015635126289105256,0.017053140789870448,0.018920491825814217,0.0020170821239484235,0.003571385175189716,0.7318441271781921
0.015459113119282579,0.01686967969340766,0.018733757014242593,0.0019553357572763557,0.0035058749652148893,0.7344108819961548
0.015268600324556332,0.016681681663397976,0.018493372061908646,0.0019759061777551703,0.0035193996891479365,0.7372117638587952
0.015144312145475973,0.016494083644559718,0.018286988739199286,0.0019516347613710685,0.0034470494911574678,0.7390354871749878
0.014943358549635683,0.01629423041071668,0.018125051340000743,0.0018372111522511347,0.003341732609191997,0.7420023679733276
0.014700207166723756,0.016007868655576,0.0177909207624077,0.0017785066401198406,0.0032528145251258106,0.7456074953079224
0.014779080235518065,0.01603561485773765,0.017813142274050106,0.0018283165716284874,0.0033004135843491393,0.7444389462471008
0.014753216888830566,0.01594693944758217,0.017658774924758296,0.001974586177392294,0.003446097256953284,0.7448300123214722
0.014415375405810024,0.01564778511556203,0.017372175551100866,0.0017995281782526298,0.0032730689509803015,0.7498539090156555
0.014232801643493992,0.015462305761823718,0.017196893532004133,0.0016959386383927108,0.0031722798868513745,0.7525919675827026
0.014132714780335058,0.015355081986260894,0.017057781391495826,0.0017141795248393245,0.0031768549958731502,0.7540886402130127
0.014030234679429723,0.015235817552412916,0.016937548742198303,0.0017317841092012072,0.0031808777143491193,0.7556298971176147
0.013854550575249947,0.01501651628305448,0.016687141988901484,0.001712573469685228,0.00314461367842335,0.7582799196243286
0.013782118430873692,0.014908222364099234,0.016570891009881194,0.0016968911551189102,0.0031281692719699553,0.7593819499015808
