loss_reconstruction,loss_prediction_1,loss_prediction_2,loss_prediction_3,loss_prediction_4,loss_prediction_5,loss_prediction_6,loss_prediction_7,loss_linearity_1,loss_linearity_2,loss_linearity_3,loss_linearity_4,loss_linearity_5,loss_linearity_6,loss_linearity_7,lin_dyn_weight
0.1347417738100495,0.15009616529098666,0.15266275903592608,0.15482254694607925,0.1566956016752455,0.15827978869479914,0.160042133877173,0.1619126649015279,0.003710234413544337,0.0037654183002232703,0.004011896368028339,0.00424799042368176,0.004477422541440135,0.004705437405743583,0.004933914953610712,0.06794868409633636
0.12527132900776686,0.14051027057146787,0.14297925237854722,0.14497789517797605,0.1466443678345343,0.14810072404366953,0.14972049909007268,0.15145757431133025,0.0038837662449589484,0.003935430941457299,0.0041693869187976376,0.004419703134382614,0.004675636076766634,0.004919658937438168,0.005166797289743969,0.08208224177360535
0.11662325595163738,0.13165639265619142,0.13415597512665822,0.13610159909283673,0.13764641911092432,0.13893887884287723,0.14043547914485738,0.1420660856195572,0.004081969728273173,0.00413143067347883,0.004386744946743101,0.004639975495812066,0.0048985519894847165,0.005161511070198483,0.005430424710114797,0.09753445535898209
0.10831892706629404,0.12320510433980511,0.12581608150944565,0.12765483880283857,0.1290946156890304,0.13030672474742336,0.13168915417860655,0.1332374399358576,0.004136548542514795,0.0042033210145905366,0.0044541640113098455,0.004718952944583765,0.004992777751351045,0.005273863131349737,0.0055671495570478215,0.11510384827852249
0.10095329920350501,0.1154171620956575,0.1179253981972383,0.11980589214800183,0.12119477349098283,0.12238312185011327,0.1237234455166441,0.1252031213908083,0.004195625134289064,0.004252063558258192,0.00451706122067641,0.0047970324855059485,0.005084178814984331,0.005362028129373737,0.00567433552107827,0.13329268991947174
0.09439038743174036,0.10867738234073626,0.11120500227417608,0.11302907161841087,0.11435036418413876,0.11546420360655094,0.11675251413274694,0.11818740038759379,0.004467263464072738,0.00454505109024369,0.004838357760448648,0.0051646386934851955,0.005506907729588775,0.005862603519701396,0.006233163373638885,0.15205521881580353
0.0874937738884579,0.10184002645087964,0.10435460609217685,0.1061736544374665,0.10747601945793589,0.10858458934809624,0.10983272578178431,0.11124811549780746,0.00432126204724665,0.0043910164147715775,0.004678568755737459,0.004992918186015152,0.005327074425389068,0.00567053443554676,0.006040237422543343,0.17437027394771576
0.0821605164093602,0.09591518740862709,0.09839702302759344,0.10014534068830086,0.10142606813899596,0.10248351121189618,0.10367206852845472,0.10500368526086261,0.0044929861646107955,0.00456008090063779,0.004867819669070067,0.005212273265576925,0.005569663142114376,0.0059572613500184085,0.006366631268250822,0.19401855766773224
0.07673058990978633,0.09032928156932998,0.09278580965819182,0.0945657283770115,0.09587729089589231,0.0969329575496892,0.09807702387222136,0.09938415895006071,0.0046149639519376786,0.004724764249441198,0.005043672908235479,0.005402336061402202,0.005798373449129689,0.006216979558620389,0.006664427231859278,0.21621407568454742
0.07152133448055698,0.08499512503845523,0.08749791540280737,0.08930170833061038,0.09061611718200273,0.09165181407222041,0.09279942400126345,0.09412148825648657,0.004401628344448327,0.0045580649641828504,0.004891969730155637,0.005262053895879675,0.005667515977063163,0.0060802040928943386,0.006511144977226001,0.23988620936870575
0.06720630541092619,0.08045288207956436,0.08281009133014615,0.08463324320436728,0.08592228801162155,0.08699024116952812,0.0881174415851683,0.0894260150414926,0.004394585681884778,0.004520652857091692,0.0048712831053268225,0.005251243309139804,0.005673701328661305,0.0061351582809329435,0.006615899558420534,0.2614196240901947
0.06338598014479535,0.07620325630361384,0.07845868277630019,0.08025849347162728,0.08160546379860001,0.0826839445415972,0.08384388657129975,0.08514419798096422,0.004449814171702773,0.00460537830587188,0.0049479784538047486,0.0053433261435441295,0.005794570662758567,0.006266639910964452,0.006756718797916515,0.28210514783859253
0.0602948593722048,0.0727121762555055,0.07486413942041621,0.07664816363491996,0.07797740733984745,0.07902532233935013,0.08016903324159308,0.08145619237463081,0.0047659149449883085,0.004926434319830101,0.005295827854362,0.005778994478962638,0.006307344645362109,0.0068289415252329125,0.007360970687986624,0.3002011179924011
0.05638127279803408,0.06883051038189769,0.07105576454188287,0.072810173235357,0.07420003956014459,0.07531534886922098,0.0764720628959964,0.07778271737724844,0.004470842710448435,0.0046786338893652765,0.005054026513489007,0.005504798497816529,0.006004555066827973,0.006528872698043734,0.007079073581029269,0.32452675700187683
