loss_reconstruction,loss_prediction,loss_linearity,loss_contrast,lin_dyn_weight
0.029354743230039247,0.030470188582271098,0.0040398718085110025,9.535136494124508e-06,0.5561078786849976
0.028737222506157834,0.029829159708588755,0.004050796640532506,9.657766173799534e-06,0.5630208253860474
0.02791999286944521,0.029019211181726595,0.004026588307189239,9.672838497994938e-06,0.5722976326942444
0.027009816660518302,0.028092326196884343,0.003921616999757034,9.813395261873139e-06,0.5828080773353577
0.02618919344913544,0.027318630592233373,0.0038536623439903873,1.0001553054604818e-05,0.5924447178840637
0.02541923490490255,0.0264623080188004,0.0038077807498361725,1.0118233449028333e-05,0.6016308069229126
0.024723915493080825,0.02574625235779995,0.003708939864512423,1.0115442909587465e-05,0.6100518703460693
0.02413724663969499,0.025043571447758827,0.00371627747418294,1.0323732699154896e-05,0.6172597408294678
0.02345333513042243,0.024422595337352866,0.003605763702565959,1.0410007112979422e-05,0.6257482171058655
0.022929662958426706,0.023877579039686805,0.0036520718855298957,1.0408318890870396e-05,0.6323351263999939
0.022368809532863524,0.023265080546445886,0.0037232469617521475,1.0520076339210955e-05,0.6394728422164917
0.021611861629915942,0.022594412888622475,0.0035779984310848625,1.068896990765358e-05,0.6492266058921814
0.020985004050162778,0.021913228921052918,0.0034391958629787366,1.0702973470726485e-05,0.6574064493179321
0.02055626953814688,0.021498878114424826,0.0035070771146715487,1.0782155018217422e-05,0.66307133436203
0.020051864532618997,0.020944136177406873,0.00353185664899847,1.0890650265115431e-05,0.669791579246521
0.01966580288140128,0.020519588547122065,0.003664657602775792,1.0844230728399323e-05,0.6749981045722961
0.01908387485442149,0.01995023039866229,0.003576231737753461,1.0903530382782522e-05,0.6828804612159729
0.01856593252846287,0.019394418299597645,0.0035088440676746594,1.0931683969273526e-05,0.6899875402450562
0.017989612052132235,0.018829918354150436,0.0032668803330391004,1.0934103737228198e-05,0.6979771852493286
0.01768764176333558,0.01848093417270893,0.0033744776636441976,1.0988151257212871e-05,0.7022094130516052
0.01719465023830493,0.017974847388371386,0.0031751595224046593,1.0953312289712878e-05,0.7091614007949829
0.01690266951519107,0.017670860573969,0.003219898579137814,1.0917766486338574e-05,0.7133200764656067
0.016522881961939483,0.017300010301752,0.003286295217129804,1.096091437066987e-05,0.7187533378601074
0.01617419884487707,0.016948808743630913,0.0032914827013483154,1.103711594779799e-05,0.723784327507019
0.015899716619272336,0.016646941614414667,0.0033225455582291687,1.0903401948963685e-05,0.727767825126648
0.015537546945101614,0.016237928589491357,0.003155792608292868,1.0985869005832436e-05,0.7330502867698669
0.01499043621282635,0.01572897864240983,0.0030317347803859706,1.0937864963539836e-05,0.7411064505577087
0.014568424686270169,0.015321230980250535,0.002860681510258256,1.094606123225927e-05,0.7473851442337036
0.014442433705478507,0.015125695611013165,0.0028813508196906174,1.0894536672522228e-05,0.7492768168449402
0.014176272587406252,0.014877654035293545,0.003001508639436265,1.079255720172043e-05,0.7532735466957092
0.013907559323386757,0.014600600480494007,0.002986104851189112,1.0776732449876094e-05,0.7573326230049133
0.013727799132865811,0.014417558573885514,0.0028353441180786164,1.0690760266261448e-05,0.7600542902946472
0.013550136717730489,0.014239850179379652,0.0029900852364835007,1.0714620540342069e-05,0.7627630829811096
0.013210029366248894,0.013943297608728063,0.0029956323497906208,1.0600069599750766e-05,0.7679625153541565
0.012963680510506554,0.013671983640151594,0.002947489083707133,1.0600878940310782e-05,0.7717567682266235
0.012868153483134971,0.01351828245700764,0.0030997626323642424,1.061763124264313e-05,0.7732365727424622
0.012581181717442283,0.01324371020771543,0.0029693313770685296,1.0574999227120333e-05,0.7776899933815002
0.01229596307785837,0.012954064065605482,0.002848283709189168,1.0520245346734451e-05,0.78212571144104
0.01218343103659057,0.012811523550077674,0.0029428955804227026,1.0467479195060014e-05,0.7838916778564453
0.012050313510540023,0.012701046990165762,0.0030027685559606905,1.050607578015272e-05,0.7859784960746765
0.011864712676557716,0.012434573159940121,0.002900153578910727,1.0481957789897812e-05,0.7889034748077393
0.011629330391318964,0.012274235993843455,0.0027962078111890415,1.0493057753341292e-05,0.7926178574562073
0.011460232308718697,0.012086388422800453,0.0026874466912805953,1.0532645000051675e-05,0.7953028082847595
0.011212435226398084,0.011851527326148572,0.0025761517335288727,1.0576561395214351e-05,0.7992540001869202
0.011083039172972495,0.011707946910315641,0.002543674808759592,1.0637650862020932e-05,0.801316499710083
0.010991776444457332,0.011567510472206104,0.0024148983139315014,1.0572330428300027e-05,0.8027825355529785
0.011015424679655172,0.011578789572593513,0.002495751568258568,1.0628876062014874e-05,0.8024111986160278
0.010996770298472998,0.01150416244500524,0.002829579665792492,1.0682393441683034e-05,0.8027225136756897
0.010710802573421047,0.01128081690729783,0.0026267009815975186,1.0714811141659341e-05,0.8073073625564575
0.010541023509252328,0.011110576835957833,0.002506389788878787,1.0755298541853798e-05,0.8100425004959106
0.010463399083500894,0.01101109649406761,0.0025765489251290425,1.0753861684086089e-05,0.8113043308258057
0.010425671615485532,0.010950754516465894,0.0027031908598266563,1.0738195035582122e-05,0.8119186162948608
0.010286841032172655,0.010845554238509875,0.0026507684754971763,1.0820283674381875e-05,0.8141758441925049
0.010271028340881536,0.010797475552031565,0.0026435154513892874,1.0842547763315973e-05,0.8144311308860779
0.010137387256739766,0.010686321166561213,0.0025475719698951965,1.076264556928587e-05,0.816606879234314
0.009983855991277234,0.010495660429565741,0.0024263017926984356,1.0761611229977596e-05,0.8191161155700684
0.009886243997326485,0.010406574973432052,0.0023815921955959167,1.0936972249381059e-05,0.8207131624221802
0.009764613541237631,0.010280782743868976,0.00229005624000832,1.0995446662896066e-05,0.8227134943008423
0.009788314072819722,0.010289145396378182,0.0022756467110180262,1.0975885575147372e-05,0.8223229646682739
0.009747091198874383,0.010264732110895836,0.0022772919610092772,1.0945132886877767e-05,0.8230032920837402
0.00971269979323922,0.010215396211350251,0.0023142487346257106,1.0941158270676515e-05,0.8235719799995422
0.00962274831697225,0.010118002104435626,0.0022653057277402353,1.0967098663988006e-05,0.8250482678413391
0.009581913647239393,0.010063507841355679,0.002250900860980712,1.0966066336296698e-05,0.8257257342338562
0.00943233689727716,0.009915312609807575,0.002271778812886643,1.1008807400965735e-05,0.8281935453414917
0.009325529528587019,0.00983206457371047,0.0022535165915410498,1.0996214164261476e-05,0.829965353012085
0.009319769041288156,0.009799547029044928,0.002221367859978219,1.1063762994109522e-05,0.8300570845603943
0.009234510571883127,0.009730523781746067,0.0021368472502334666,1.1006502361012961e-05,0.8314740061759949
0.009128088570991406,0.009609974738480099,0.002121695435928036,1.096182584285208e-05,0.8332409262657166
0.00912457560975574,0.009583728043387467,0.0021287048149394527,1.1020497063217915e-05,0.8333019614219666
0.009067255938700313,0.0095375929247518,0.002078256067937245,1.099820399968451e-05,0.8342539072036743
0.008999375671387998,0.009470961159020262,0.0020987695056805264,1.0968037623392128e-05,0.8353877663612366
0.008884292178295413,0.009346986349282571,0.002035246489709368,1.1001262184153355e-05,0.8373096585273743
0.008865963974742883,0.009334736094178368,0.002041459577307904,1.0911879200341172e-05,0.8376172184944153
0.00882451265710768,0.009279684483225959,0.0020223544628406817,1.0871584851979204e-05,0.8383145332336426
0.008833577736572989,0.009259826745887864,0.0020473110820379,1.0861349335209036e-05,0.8381582498550415
0.008755447687556213,0.009196894455591251,0.001996626882394401,1.0899965434205492e-05,0.8394694328308105
0.008856725496996504,0.009292593777639137,0.0021050589617301807,1.08550772622414e-05,0.8377688527107239
0.00876713281212719,0.009195060561593353,0.002055383264898615,1.0847284523885692e-05,0.8392704725265503
0.008617040341665055,0.009051432568410126,0.001979234968574253,1.0807481812272313e-05,0.8417935371398926
0.008547847938221997,0.0089842803731321,0.0019563174845236317,1.0899960143043287e-05,0.8429539203643799
0.008488044761940238,0.008918228838842452,0.0019193305015993423,1.0841403704322469e-05,0.8439636826515198
0.008504670957258176,0.008934182289678193,0.002001710332825221,1.0848643133410843e-05,0.8436828851699829
0.00848757524802362,0.008899086529523854,0.0020073819000413764,1.0848944832066176e-05,0.8439719676971436
0.008540707388168685,0.008944770805637575,0.0020279455087309946,1.0788532126850659e-05,0.8430805802345276
0.008473058088854873,0.008885816373829868,0.002032858013717243,1.0824040228865502e-05,0.8442191481590271
0.008396085523987743,0.00879156813974275,0.0019709950527700597,1.0715510384593971e-05,0.845517098903656
0.008396399067589969,0.008794047997080928,0.0018925615742393137,1.0686553931292102e-05,0.8455079793930054
0.008286778041069214,0.008687919175536959,0.0018475061992867462,1.067855227493226e-05,0.8473655581474304
0.008268347554328294,0.00867592442990468,0.001895632932521902,1.0628513417461227e-05,0.8476768732070923
0.008218628653991797,0.008594592416474232,0.0018698368589805774,1.0624230416721338e-05,0.8485183715820312
0.008219078739970203,0.008589491497815134,0.0019812808445737206,1.0601176798606451e-05,0.8485142588615417
0.008119341422961002,0.00850841769544113,0.0018304534223375108,1.0547762467370158e-05,0.8502039909362793
0.00812562293904876,0.008501000242961956,0.0018356885360279209,1.0535767117365239e-05,0.8500962853431702
0.008122094070424024,0.008516540441252591,0.0019733892328008492,1.0504264915243401e-05,0.8501573801040649
0.008072250415308865,0.008468985427720297,0.0018784229458876493,1.0579318041957218e-05,0.8510017991065979
0.008111421153668424,0.008468282888406243,0.0019497864364069605,1.0406168591809751e-05,0.8503401875495911
0.008049759254778358,0.008447254253875953,0.001998115375253494,1.0519348897063923e-05,0.8513861298561096
0.008057740065031972,0.008431930521917567,0.001984677359277018,1.0393656358653718e-05,0.8512486219406128
0.007929984349058316,0.00829681668969885,0.001826288370820057,1.0385141366903592e-05,0.8534256815910339
0.007867512652705405,0.008255537045025954,0.0017963111458031646,1.0333804365455974e-05,0.8544901609420776
0.007909951282130808,0.008277321476539243,0.0018779249972945963,1.0355846089031297e-05,0.8537683486938477
0.007884923421126108,0.008250069142826121,0.0018741551083799742,1.0359867796576182e-05,0.8541932106018066
0.007742388466068471,0.00811810495866208,0.0017666187653587707,1.0306138987430583e-05,0.8566306233406067
0.007788453239887633,0.008144412027427243,0.0017550294028455266,1.0332566769930955e-05,0.8558420538902283
0.007721873850439333,0.008049387177677161,0.0017284080142719576,1.0288187385883635e-05,0.8569808602333069
0.007629961741653748,0.007955012138902982,0.0016651631067020084,1.032171732229218e-05,0.8585543632507324
0.007622248158557964,0.007951194183256767,0.0016752519219085055,1.029797211026379e-05,0.8586918115615845
0.007609925100494965,0.007951771116368573,0.0017278700088208226,1.0244850424187316e-05,0.8588986396789551
