loss_reconstruction,loss_prediction,loss_linearity
0.011464320922185524,0.011749524633142968,0.0025545975284516093
0.011302153567406511,0.011549326346503026,0.0024705532415153276
0.011035344578405647,0.011229366595899291,0.0022233310920228787
0.011032960260281933,0.011198396190261873,0.0022075356301993893
0.010966093589029906,0.011212089223832131,0.0023999926774580303
0.010907958990746943,0.011094893668416199,0.002170749954022867
0.010833964515826976,0.011088316965518624,0.0021572041251302146
0.01071827984777037,0.010970377270881355,0.0022620073636374547
0.01060669103902003,0.010871587598311838,0.002312686958165475
0.01077890332198974,0.010987749677800621,0.0022717424682104316
0.010683824423071366,0.010868733985993721,0.002079290088800459
0.010468092424939849,0.010665075880932264,0.0020901280650045054
0.010503879818196431,0.01081699368621325,0.0024989775632290874
0.010392851201223144,0.010725992993918564,0.0026505898310360937
0.010393041755314966,0.010615027207511679,0.002278502920677451
0.010336681034405973,0.010489105701386609,0.0020578925490963595
0.010272246663116578,0.010486690412417813,0.0021274720615739795
0.01002735824351656,0.01024610827609537,0.0019732111051863426
0.010055109653771722,0.010351729796495259,0.002173129975391257
0.009834056230756297,0.010072791719204938,0.00228934328885744
0.010080496850485936,0.010267920704713296,0.0022349345570195456
0.009662466795351007,0.009827538525770561,0.0018293757504101932
0.009738136864399623,0.01001489516996826,0.0025455694517367905
0.009788329738014984,0.010079599038046103,0.0026454897797179608
0.009945258930145735,0.010194023319547522,0.0021123997074359623
0.009684655241088956,0.009839352949375121,0.00208445416760928
0.009697687624886273,0.009869023306100523,0.002039585749109353
0.009508768680827548,0.009633322838124576,0.0019843142770540377
0.009373573188098203,0.009595463851381882,0.001879271771821216
0.009286841197843206,0.009534503500559056,0.002051143069007501
0.00926535146875212,0.009458027692666482,0.002038179892402432
0.00916067689117893,0.009363643657765663,0.0017835686935845953
0.009377956774894737,0.009578804125954415,0.001969843625650309
0.009033309307009301,0.009267570962754875,0.0019214246656131448
0.008960775678962389,0.009159839332563148,0.001741846779301443
0.009148841833660814,0.009392016238954927,0.001956351721864044
0.009029800078554464,0.00927315316919547,0.002038625625914697
0.008945333546691702,0.009171742662517779,0.0017593666282544867
0.00886155652311748,0.009067412526983438,0.0018855648395547959
0.008851415883430127,0.009054346880238833,0.00186098472155311
0.00864470734488189,0.008838925710392381,0.0017733887036458337
0.009121004914010977,0.009297426750049515,0.0019112246019900563
0.008698717880764371,0.008955340897389774,0.0018688327874414044
0.008694897069977772,0.008888874275375148,0.0017172262842215138
0.008520709304513544,0.00871730662867347,0.0017168910870573237
0.008565892464164195,0.008769597795769453,0.0017567052235627103
0.008506408619167578,0.008746827845199498,0.00177202294499491
0.008510682031502273,0.008688604002244192,0.0018499418028852536
0.00844556942142686,0.008640393025513948,0.0017967061779459305
0.008314648096327327,0.008524187786839204,0.0017980274085165188
0.00838729676892906,0.008533891667449603,0.0016120484174633693
0.008294381312376772,0.008419584360562924,0.0015695766510252138
0.008433337228487547,0.00859109574589309,0.0016364299140723257
0.008376496816528387,0.008587370988670687,0.001719403253236521
0.008371749395959019,0.008561793461332132,0.0016493731354370754
0.008306951973657186,0.008515470623770284,0.001767986836086649
0.008271740142745402,0.008490165679318576,0.0019307252440673996
0.008131919235200808,0.008287955455022587,0.0017574741967002444
0.007951376695016114,0.008097838058608307,0.0015361098906252503
0.00807150652702029,0.008272485828761202,0.0017410214892376323
0.007888963191343057,0.008028578125539637,0.0015617517229162116
0.007938785354878963,0.008168214109374195,0.0019601847223959983
0.00805633637964246,0.008382744110881003,0.002339853970995597
0.007925765907227114,0.008139626008156318,0.0017308036146945153
0.007722247999920522,0.007892807226518203,0.001586473906155546
0.007761229110517147,0.00799446682203511,0.0017333468696946433
0.007739647222937512,0.007933243230264883,0.0016141409568124058
0.007747713036975017,0.007918737554078768,0.0014236231653479204
0.007735961158048292,0.007841898510407347,0.001474755779333193
0.007733874885620045,0.007964013170590749,0.0016777391013958998
0.007598950708629539,0.007761755095540119,0.0014500034009867994
0.00780146410464042,0.007981537725157218,0.0016109029535858344
0.007538460076464485,0.007702119199024768,0.001512212876664929
0.0076032324092357795,0.007810875559949763,0.0016565956755843383
0.007505828635792071,0.007679783777850642,0.001614708606036375
0.007540071697720893,0.007716240869440518,0.0016023888484881965
0.007188138845389155,0.007386118702930036,0.0015781935844033576
0.007373756619205264,0.007570145384535872,0.0017818951156569629
0.00741667147655909,0.007581941674815506,0.0015957763350828384
0.007353235339501189,0.007528423230555757,0.0014547636355123615
0.007366411918499595,0.007507110532652837,0.001537698258623361
0.0075355459918485255,0.007753800289910137,0.0017883071540754998
0.007279110892648352,0.00746064257356101,0.0015995434236315755
0.007274615505944947,0.007485594359493687,0.0017550009353980223
0.007289448730527715,0.0074826461467742125,0.001706705386057526
0.007307782450855657,0.007542057776818646,0.001995677341134025
0.007125010301955744,0.00731680624626437,0.0015630967594837974
0.007128495338495231,0.007278687621519249,0.0014456338292841698
0.0070795875839169955,0.007223979237891394,0.0013376921471507956
0.0069922851498460965,0.007171018382449492,0.0015077767965456237
0.006991203836896944,0.007219672070731266,0.0016529247410977433
0.006953497549603836,0.007120928462424962,0.001494932306297473
0.006895931368948388,0.007013114299075853,0.0014003125804628747
0.006951109323920257,0.007128678855234033,0.0015219092976436737
0.006993168222171132,0.007160523960032268,0.0014246368252337678
0.0070247199129183395,0.00716321359216248,0.0014169683164028057
0.006905662548795702,0.007092010400859744,0.0014369545108701125
0.006847565031133532,0.006953559898279467,0.0013121996053379657
0.0068629202994720225,0.007075446190926728,0.0014089709948361339
